priority,batch,target,handle_or_org,type,best_channel,suggested_angle,status,public_reply_url,direct_message_channel,essay_url,sent_at,response_status,response_at,notes
1,1,"Alexa Belonix","@alexabelonix","GTM operator","X reply first","A tiny AI startup should recruit the first 10, not market to them.","sent","https://x.com/ruchitdalwadi/status/2068375965752021269","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public reply posted to relevant GTM hunt thread."
2,1,"Polsia","@polsia","AI agents operator","X reply first","Do not automate the first sales loop before you understand it.","sent","https://x.com/ruchitdalwadi/status/2068376145280839822 https://x.com/ruchitdalwadi/status/2068376187139948849","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Two public replies posted to relevant AI agents/GTM posts."
3,1,"MarkWeekly","@4to1planner","GTM/AI commentator","X reply","What should stay manual long enough to teach the company?","sent","https://x.com/ruchitdalwadi/status/2068376227967304132","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public reply posted using agent GTM framing."
4,1,"collide.","@collide_ai","AI/media/community","X reply","Design partners need explicit rights and boundaries.","sent","https://x.com/ruchitdalwadi/status/2068376269579055580","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public reply posted to design-partner related post."
5,1,"Lisa Calhoun / Valor VC","Valor VC","Investor/operator","LinkedIn comment or direct note","Portfolio founders stuck between demo works and sales motion works.","sent","https://www.linkedin.com/posts/lisacalhoun_ai-share-7448111009074024449-Q68u/","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public LinkedIn comment posted on AI go-to-market workshop post."
6,1,"Forum Ventures","@forumventures","B2B SaaS accelerator/fund","X or LinkedIn","First 10 customer playbook for B2B AI founders in accelerator/portfolio.","not_relevant_after_review","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","not_sent","","X profile showed no current relevant original post; skipped rather than forcing a low-signal reply."
7,1,"GTMnow","@GTMnow_","GTM media/community","X reply or newsletter pitch","Native post version could become a GTMnow discussion prompt.","sent","https://x.com/ruchitdalwadi/status/2068377150198255867","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public reply posted to Cursor GTM growth playbook post."
8,1,"Luke Sophinos","@lukesophinos","Vertical AI founder/investor","X reply/direct","Vertical AI wedges should be live-workflow specific, not category vague.","replied","https://x.com/ruchitdalwadi/status/2068377274689470885","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","replied","2026-06-21T17:22:58+05:30","Luke replied publicly: https://x.com/lukesophinos/status/2068384975523643431; objection/theme: why workflow-specific AI is needed over a horizontal GPT someone already uses."
9,1,"Radhesh Kanumury","@radhesh_k","B2B AI SaaS investor","X/LinkedIn","Useful for founders moving from first pilots to repeatable GTM.","sent","https://x.com/ruchitdalwadi/status/2068377414070321174","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","awaiting_response","","Public reply posted to agentic AI sales assistant investment post."
10,1,"Michael Axelgaard / AI Seed","AI Seed","AI seed investor","LinkedIn/email if available","Forwardable to founders before repeatable sales.","reviewed_not_sent","","","https://ruchitdalwadi.com/writing/first-ten-customers-for-a-b2b-ai-startup?utm_source=direct&utm_medium=outreach&utm_campaign=first-ten-customers","2026-06-20T22:27:37+05:30","not_sent","","Public LinkedIn channel identified, but browser runtime reset before a safe comment/send could be completed."
